"index","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","default payment next month"
"69","70","20000","Male","unknown","Single","22","No"
"70","71","80000","Male","Graduate school","Single","31","No"
"71","72","320000","Male","University","Single","29","Yes"
"72","73","200000","Female","University","Married","32","No"
"73","74","290000","Female","Graduate school","Single","37","No"
"74","75","340000","Male","Graduate school","Single","32","No"
"75","76","20000","Male","University","Single","24","No"
"76","77","50000","Male","High school","Single","25","No"
"77","78","300000","Female","Graduate school","Married","45","No"
"78","79","30000","Female","University","Single","22","Yes"
"79","80","240000","Female","University","Single","44","Yes"
"80","81","470000","Female","High school","others","33","No"
"81","82","360000","Female","Graduate school","Single","26","No"
"82","83","60000","Male","High school","Single","30","Yes"
"83","84","400000","Female","University","Married","44","No"
"84","85","50000","Female","High school","Single","49","No"
"85","86","160000","Male","University","Single","33","No"
"86","87","360000","Female","Graduate school","Married","45","Yes"
"87","88","160000","Female","University","Single","32","No"
"88","89","130000","Female","Graduate school","Married","35","No"
"89","90","20000","Male","High school","Single","44","No"
"90","91","200000","Male","Graduate school","Married","53","Yes"
"91","92","280000","Female","Graduate school","Single","39","No"
"92","93","100000","Female","Graduate school","Single","27","No"
"93","94","160000","Female","University","Married","37","No"
"94","95","60000","Female","University","Single","23","No"
"95","96","90000","Male","University","Single","35","No"
"96","97","360000","Male","Graduate school","Married","43","No"
"97","98","150000","Male","Graduate school","Single","27","No"
"98","99","50000","Female","High school","Married","22","No"
"99","100","20000","Male","University","Married","38","Yes"
"100","101","140000","Male","Graduate school","Single","32","No"
"101","102","380000","Female","Graduate school","Single","30","No"
"102","103","480000","Male","Graduate school","Married","63","No"
"103","104","50000","Female","High school","Single","22","Yes"
"104","105","60000","Female","University","Single","26","No"
"105","106","70000","Female","University","Single","24","No"
"106","107","80000","Female","University","Married","36","No"
"107","108","350000","Male","Graduate school","Single","52","No"
"108","109","130000","Male","University","Single","38","No"
"109","110","360000","Male","University","Married","35","No"
"110","111","330000","Female","Graduate school","Married","31","No"
"111","112","50000","Male","High school","Married","47","No"
"112","113","280000","Male","University","Married","41","No"
"113","114","100000","Female","Graduate school","Single","24","No"
"114","115","50000","Male","University","Single","41","No"
"115","116","30000","Male","Graduate school","Single","24","Yes"
"116","117","240000","Male","Graduate school","Single","28","No"
"117","118","80000","Male","University","Single","26","Yes"
"118","119","400000","Male","University","Married","34","No"
"119","120","240000","Female","University","Single","38","No"
"120","121","50000","Male","High school","Single","37","Yes"
"121","122","450000","Male","Graduate school","Married","40","Yes"
"122","123","110000","Female","Graduate school","Married","48","No"
"123","124","310000","Female","University","Married","35","Yes"
"124","125","20000","Male","Graduate school","Single","27","No"
"125","126","20000","Male","University","Single","23","No"
"126","127","200000","Male","High school","Single","52","No"
"127","128","180000","Male","Graduate school","Married","36","Yes"
"128","129","50000","Male","University","Married","51","Yes"
"129","130","60000","Male","High school","Married","55","No"
"130","131","30000","Female","Graduate school","Single","23","No"
"131","132","240000","Male","Graduate school","Single","41","No"
"132","133","420000","Male","University","Married","34","No"
"133","134","330000","Male","High school","Married","46","No"
"134","135","30000","Female","University","Single","22","No"
"135","136","240000","Male","University","Married","34","No"
"136","137","150000","Male","Graduate school","Single","27","No"
"137","138","210000","Female","University","Married","33","No"
"138","139","50000","Female","High school","Married","51","Yes"
"139","140","50000","Male","Graduate school","Single","24","No"
"140","141","240000","Male","Graduate school","Single","47","Yes"
"141","142","180000","Male","University","Single","28","No"
"142","143","50000","Male","University","Single","23","No"
"143","144","170000","Male","University","Single","29","No"
"144","145","20000","Male","Graduate school","Single","29","No"
"145","146","50000","Male","Graduate school","Single","28","No"
"146","147","170000","Female","University","Single","27","Yes"
"147","148","200000","Male","Graduate school","Single","34","No"
"148","149","80000","Female","University","Married","23","No"
"149","150","260000","Female","Graduate school","Married","60","No"
"150","151","140000","Male","University","Married","32","No"
"151","152","80000","Male","Graduate school","Single","25","No"
"152","153","350000","Male","Graduate school","Single","41","No"
"153","154","280000","Female","University","Married","56","No"
"154","155","30000","Female","High school","Single","26","No"
"155","156","140000","Male","Graduate school","Married","34","No"
"156","157","200000","Female","Graduate school","Single","37","No"
"157","158","200000","Female","High school","Single","30","No"
"158","159","210000","Male","High school","Married","45","Yes"
"159","160","50000","Male","High school","Married","57","No"
"160","161","30000","Male","Graduate school","Single","41","No"
"161","162","50000","Male","University","Single","27","No"
"162","163","290000","Male","High school","Married","47","No"
"163","164","250000","Female","Graduate school","Married","34","No"
"164","165","60000","Female","University","Married","46","No"
"165","166","110000","Female","Graduate school","Single","27","No"
"166","167","370000","Male","Graduate school","Single","50","No"
"167","168","100000","Male","University","Married","27","No"
"168","169","90000","Female","University","Married","35","No"
"169","170","50000","Female","University","Single","22","No"
"170","171","270000","Male","University","Single","37","No"
"171","172","300000","Female","Graduate school","Single","30","No"
"172","173","50000","Female","University","Single","22","No"
"173","174","50000","Female","Graduate school","Single","24","Yes"
"174","175","360000","Male","Graduate school","Single","29","No"
"175","176","130000","Male","High school","Married","56","Yes"
"176","177","80000","Male","Graduate school","Single","30","No"
"177","178","50000","Male","University","Single","30","No"
"178","179","20000","Female","University","Single","22","No"
"179","180","80000","Female","University","Married","29","No"
"180","181","240000","Male","Graduate school","Single","37","No"
"181","182","80000","Female","High school","Single","35","No"
"182","183","500000","Female","Graduate school","Married","47","No"
"183","184","60000","Female","University","Married","24","Yes"
"184","185","20000","Male","University","Single","25","No"
"185","186","100000","Female","University","Married","38","Yes"
"186","187","360000","Female","Graduate school","Single","32","No"
"187","188","200000","Female","High school","Single","47","Yes"
"188","189","130000","Female","University","Married","34","No"
"189","190","20000","Female","University","Single","31","No"
"190","191","310000","Male","Graduate school","Single","32","No"
"191","192","60000","Female","Graduate school","Single","27","Yes"
"192","193","180000","Female","Graduate school","Single","29","No"
"193","194","180000","Female","Graduate school","Single","24","No"
"194","195","50000","Male","University","Married","36","No"
"195","196","50000","Female","Graduate school","Single","24","Yes"
"196","197","150000","Female","University","Married","34","No"
"197","198","20000","Female","Graduate school","Single","22","No"
"198","199","500000","Female","Graduate school","Married","34","No"
"199","200","30000","Female","High school","Single","22","Yes"
"200","201","180000","Female","Graduate school","Married","38","No"
"201","202","140000","Male","Graduate school","Single","31","No"
"202","203","140000","Female","Graduate school","Single","26","No"
"203","204","120000","Male","University","Single","26","No"
"204","205","360000","Female","University","Married","48","No"
"205","206","20000","Male","High school","Married","43","No"
"206","207","100000","Male","Graduate school","Married","47","No"
"207","208","210000","Female","University","Married","41","Yes"
"208","209","80000","Female","University","Single","24","Yes"
"209","210","330000","Female","Graduate school","Married","50","No"
"210","211","220000","Male","Graduate school","Single","24","No"
"211","212","210000","Female","Graduate school","Married","38","Yes"
"212","213","40000","Female","High school","Married","43","No"
"213","214","30000","Male","University","Single","39","No"
"214","215","470000","Male","University","Single","27","No"
"215","216","30000","Male","High school","Married","42","No"
"216","217","240000","Female","University","Married","36","Yes"
"217","218","80000","Male","University","Single","36","No"
"218","219","110000","Female","High school","unknown","31","No"
"219","220","310000","Female","Graduate school","Single","38","No"
"220","221","360000","Female","Graduate school","Married","40","Yes"
"221","222","330000","Female","High school","Single","45","No"
"222","223","300000","Female","University","Single","35","No"
"223","224","320000","Female","University","Single","33","No"
"224","225","50000","Female","High school","Single","37","Yes"
"225","226","170000","Female","Graduate school","Single","28","No"
"226","227","350000","Male","High school","Married","44","No"
"227","228","20000","Male","University","Married","37","No"
"228","229","50000","Male","University","Single","23","Yes"
"229","230","20000","Female","High school","Single","24","No"
"230","231","50000","Female","Graduate school","Single","24","No"
"231","232","20000","Male","University","Single","23","Yes"
"232","233","50000","Male","University","Married","26","No"
"233","234","190000","Male","University","Single","34","Yes"
"234","235","60000","Female","University","Married","33","No"
"235","236","80000","Male","Graduate school","Single","35","No"
"236","237","150000","Female","University","Single","27","No"
"237","238","210000","Female","Graduate school","Single","31","No"
"238","239","240000","Female","High school","Married","50","Yes"
"239","240","140000","Female","University","others","41","Yes"
"240","241","60000","Female","Graduate school","Single","28","No"
"241","242","50000","Male","Graduate school","Single","39","No"
"242","243","50000","Female","University","Single","27","No"
"243","244","180000","Female","Graduate school","Single","32","No"
"244","245","30000","Female","Graduate school","Single","40","No"
"245","246","20000","Female","University","Single","40","No"
"246","247","250000","Female","University","Married","75","No"
"247","248","100000","Female","University","Single","27","No"
"248","249","330000","Male","Graduate school","Single","25","No"
"249","250","50000","Male","High school","Married","46","No"
"250","251","50000","Female","University","Single","26","No"
"251","252","30000","Male","University","Single","28","No"
"252","253","140000","Female","University","Single","26","Yes"
"253","254","160000","Female","Graduate school","Single","28","No"
"254","255","400000","Female","University","Single","29","No"
"255","256","50000","Male","University","Married","25","No"
"256","257","140000","Female","University","Married","48","No"
"257","258","160000","Female","University","Married","33","No"
"258","259","100000","Female","High school","Married","43","No"
"259","260","220000","Male","Graduate school","Married","48","Yes"
"260","261","510000","Female","Graduate school","Single","29","No"
"261","262","50000","Male","University","Single","29","No"
"262","263","160000","Female","Graduate school","Married","38","No"
"263","264","230000","Female","Graduate school","Single","37","No"
"264","265","80000","Female","Graduate school","Single","37","No"
"265","266","150000","Female","University","Married","25","No"
"266","267","10000","Male","High school","Single","23","No"
"267","268","130000","Female","High school","Single","49","Yes"
"268","269","40000","Female","Graduate school","Single","48","No"
"269","270","50000","Male","University","Single","27","Yes"
"270","271","100000","Male","High school","Single","32","No"
"271","272","120000","Male","Graduate school","Married","34","No"
"272","273","260000","Female","Graduate school","Single","58","Yes"
"273","274","200000","Female","University","Single","33","No"
"274","275","360000","Female","University","Single","28","Yes"
"275","276","70000","Female","University","Single","36","No"
"276","277","460000","Male","Graduate school","Married","40","Yes"
"277","278","50000","Female","Graduate school","Single","26","No"
"278","279","50000","Male","High school","Married","33","No"
"279","280","250000","Female","University","Married","31","No"
"280","281","30000","Female","Graduate school","Single","27","No"
"281","282","270000","Male","University","Married","44","No"
"282","283","180000","Female","High school","Single","30","No"
"283","284","100000","Female","Graduate school","Single","28","No"
"284","285","230000","Female","High school","Married","32","No"
"285","286","210000","Female","Graduate school","Married","46","No"
"286","287","210000","Male","Graduate school","Single","38","No"
"287","288","440000","Female","University","Married","46","No"
"288","289","100000","Female","University","Single","25","Yes"
"289","290","240000","Female","University","Married","46","No"
"290","291","280000","Male","Graduate school","Single","33","Yes"
"291","292","50000","Female","University","Single","22","Yes"
"292","293","30000","Male","University","Married","43","No"
"293","294","10000","Male","University","Single","27","Yes"
"294","295","130000","Male","Graduate school","Single","29","No"
"295","296","200000","Male","Graduate school","Single","31","No"
"296","297","120000","Female","University","Married","29","No"
"297","298","210000","Female","University","Married","36","No"
"298","299","280000","Female","Graduate school","Married","36","No"
"299","300","300000","Male","Graduate school","Single","34","Yes"
"300","301","100000","Male","University","Single","37","No"
"301","302","440000","Female","Graduate school","Single","36","No"
"302","303","50000","Female","High school","Married","40","No"
"303","304","20000","Female","Graduate school","Single","25","Yes"
"304","305","200000","Female","Graduate school","Single","27","No"
"305","306","110000","Female","University","Single","26","No"
"306","307","500000","Female","University","Married","36","No"
"307","308","300000","Female","University","Married","27","No"
"308","309","30000","Male","High school","Married","55","Yes"
"309","310","60000","Female","Graduate school","Single","27","No"
"310","311","400000","Female","University","Married","38","No"
"311","312","180000","Female","University","Married","34","No"
"312","313","20000","Male","Graduate school","Single","40","No"
"313","314","200000","Female","High school","Married","49","Yes"
"314","315","100000","Male","Graduate school","Single","27","No"
"315","316","60000","Male","University","Single","23","Yes"
"316","317","110000","Female","University","Single","36","No"
"317","318","260000","Female","High school","Married","53","No"
"318","319","50000","Female","High school","Married","46","No"
"319","320","180000","Male","University","Single","29","No"
"320","321","110000","Male","University","Single","29","Yes"
"321","322","340000","Female","Graduate school","Single","27","No"
"322","323","50000","Male","University","Single","24","No"
"323","324","230000","Female","University","Married","28","Yes"
"324","325","360000","Female","University","Single","32","No"
"325","326","210000","Male","University","Single","43","No"
"326","327","220000","Female","University","Married","41","Yes"
"327","328","60000","Female","University","Married","34","Yes"
"328","329","340000","Male","University","Married","55","No"
"329","330","150000","Male","Graduate school","Married","40","No"
"330","331","200000","Female","University","Married","37","Yes"
"331","332","130000","Female","University","Single","40","Yes"
"332","333","60000","Female","Graduate school","Single","28","No"
"333","334","400000","Female","University","Married","43","No"
"334","335","20000","Male","Graduate school","Single","27","No"
"335","336","190000","Female","Graduate school","Single","28","No"
"336","337","260000","Female","Graduate school","Single","30","No"
"337","338","140000","Female","University","Single","31","No"
"338","339","50000","Female","University","Married","31","Yes"
"339","340","120000","Female","Graduate school","Single","34","No"
"340","341","240000","Female","University","Single","30","No"
"341","342","50000","Male","University","Single","36","No"
"342","343","200000","Female","Graduate school","Single","29","No"
"343","344","180000","Male","Graduate school","Married","39","No"
"344","345","180000","Female","Graduate school","Single","26","No"
"345","346","160000","Female","Graduate school","Single","29","No"
"346","347","100000","Female","University","Single","26","No"
"347","348","50000","Female","University","Single","29","Yes"
"348","349","140000","Female","University","Single","31","No"
"349","350","30000","Female","University","Single","26","Yes"
"350","351","90000","Male","Graduate school","Single","26","No"
"351","352","200000","Male","Graduate school","Married","36","No"
"352","353","380000","Male","Graduate school","Single","30","Yes"
"353","354","80000","Female","University","Single","43","No"
"354","355","50000","Male","High school","Married","58","No"
"355","356","180000","Male","University","Married","45","Yes"
"356","357","240000","Female","University","Single","26","No"
"357","358","380000","Male","University","Single","34","No"
"358","359","110000","Female","others","Single","24","No"
"359","360","260000","Male","Graduate school","Married","34","No"
"360","361","500000","Female","University","Single","23","Yes"
"361","362","320000","Female","University","Single","30","No"
"362","363","50000","Male","University","Single","32","No"
"363","364","110000","Male","Graduate school","Married","40","Yes"
"364","365","230000","Female","Graduate school","Single","35","No"
"365","366","330000","Female","University","Married","56","No"
"366","367","50000","Female","University","Married","61","No"
"367","368","10000","Male","University","Single","24","No"
"368","369","300000","Male","Graduate school","Married","40","No"
"369","370","20000","Female","University","Married","32","Yes"
"370","371","180000","Male","University","Married","36","Yes"
"371","372","160000","Male","Graduate school","Single","30","No"
"372","373","90000","Female","Graduate school","Single","34","No"
"373","374","30000","Male","High school","others","54","No"
"374","375","180000","Male","Graduate school","Married","46","No"
"375","376","30000","Male","High school","Married","58","No"
"376","377","30000","Male","University","Married","43","No"
"377","378","140000","Female","Graduate school","Single","28","No"
"378","379","210000","Male","Graduate school","Single","30","No"
"379","380","50000","Male","University","Single","31","Yes"
"380","381","130000","Female","University","Single","29","No"
"381","382","50000","Female","University","Married","37","Yes"
"382","383","140000","Male","High school","Married","36","No"
"383","384","170000","Female","University","Single","28","Yes"
"384","385","80000","Male","University","Single","25","No"
"385","386","410000","Female","unknown","Married","42","No"
"386","387","80000","Female","Graduate school","Single","29","No"
"387","388","80000","Male","High school","Married","73","Yes"
"388","389","150000","Male","University","Married","43","No"
"389","390","260000","Male","Graduate school","Married","30","Yes"
"390","391","350000","Male","Graduate school","Married","38","No"
"391","392","280000","Female","University","Married","39","Yes"
"392","393","310000","Male","University","Married","44","No"
"393","394","140000","Female","University","Single","29","No"
"394","395","360000","Male","Graduate school","Married","51","No"
"395","396","140000","Female","Graduate school","Single","27","No"
"396","397","100000","Male","Graduate school","Single","38","No"
"397","398","50000","Female","University","Single","22","No"
"398","399","210000","Female","University","Married","30","No"
"399","400","120000","Female","University","Single","25","No"
"400","401","240000","Male","Graduate school","Single","29","No"
"401","402","60000","Female","High school","others","42","No"
"402","403","150000","Male","Graduate school","Single","41","Yes"
"403","404","30000","Male","University","Married","48","No"
"404","405","160000","Female","Graduate school","Single","29","Yes"
"405","406","200000","Male","Graduate school","Married","52","No"
"406","407","120000","Female","University","Married","25","No"
"407","408","500000","Male","Graduate school","Married","37","No"
"408","409","320000","Female","Graduate school","Single","27","No"
"409","410","280000","Male","Graduate school","Single","31","No"
"410","411","60000","Female","Graduate school","Single","23","Yes"
"411","412","200000","Female","Graduate school","Married","38","No"
"412","413","230000","Female","Graduate school","Married","32","No"
"413","414","230000","Female","University","Single","27","Yes"
"414","415","480000","Female","High school","Married","41","No"
"415","416","50000","Female","High school","Married","35","No"
"416","417","200000","Female","Graduate school","Single","31","No"
"417","418","50000","Female","Graduate school","Single","30","No"
"418","419","50000","Male","University","Married","48","No"
"419","420","260000","Female","Graduate school","Single","36","Yes"
"420","421","30000","Male","Graduate school","Single","24","No"
"421","422","440000","Female","Graduate school","Single","29","No"
"422","423","230000","Female","University","Single","38","No"
"423","424","200000","Male","University","Married","38","Yes"
"424","425","490000","Female","University","Married","30","No"
"425","426","80000","Female","University","Married","32","No"
"426","427","20000","Female","High school","Single","49","Yes"
"427","428","170000","Female","Graduate school","Single","31","Yes"
"428","429","70000","Male","Graduate school","Single","27","No"
"429","430","210000","Female","University","Single","33","No"
"430","431","90000","Female","University","Single","25","No"
"431","432","390000","Female","Graduate school","Single","27","Yes"
"432","433","110000","Female","Graduate school","Single","29","No"
"433","434","580000","Female","Graduate school","Married","36","No"
"434","435","360000","Male","High school","Married","55","No"
"435","436","270000","Female","University","Married","32","Yes"
"436","437","60000","Female","Graduate school","Single","27","No"
"437","438","110000","Male","High school","Married","37","No"
"438","439","50000","Female","Graduate school","Married","25","No"
"439","440","80000","Female","Graduate school","Single","23","Yes"
"440","441","50000","Male","University","Single","23","No"
"441","442","100000","Male","Graduate school","Single","32","No"
"442","443","30000","Female","Graduate school","Single","26","No"
"443","444","200000","Female","Graduate school","Single","27","No"
"444","445","240000","Male","Graduate school","Single","44","Yes"
"445","446","220000","Male","University","Single","34","No"
"446","447","160000","Female","Graduate school","Single","28","No"
"447","448","180000","Female","Graduate school","Married","53","No"
"448","449","200000","Male","others","Married","42","No"
"449","450","140000","Female","High school","Married","30","No"
"450","451","380000","Male","Graduate school","Married","51","Yes"
"451","452","600000","Male","Graduate school","Married","53","Yes"
"452","453","260000","Male","University","Single","37","No"
"453","454","200000","Female","Graduate school","Single","26","No"
"454","455","80000","Male","University","Single","42","No"
"455","456","40000","Male","University","Single","39","No"
"456","457","130000","Male","High school","Single","39","No"
"457","458","50000","Male","Graduate school","Single","32","No"
"458","459","230000","Female","University","Married","41","No"
"459","460","70000","Male","University","Married","48","Yes"
"460","461","180000","Female","University","Married","38","No"
"461","462","80000","Female","University","Married","36","No"
"462","463","290000","Female","University","Single","26","No"
"463","464","230000","Female","Graduate school","Single","28","No"
"464","465","170000","Female","High school","others","56","No"
"465","466","230000","Male","Graduate school","Married","59","Yes"
"466","467","220000","Male","Graduate school","Single","38","Yes"
"467","468","230000","Male","University","Single","32","No"
"468","469","500000","Male","University","Married","38","No"
"469","470","90000","Female","Graduate school","Married","41","No"
"470","471","390000","Female","High school","Single","35","Yes"
"471","472","400000","Female","University","Single","41","No"
"472","473","180000","Male","University","Married","34","No"
"473","474","60000","Male","High school","Married","38","No"
"474","475","120000","Female","University","Married","32","No"
"475","476","60000","Female","University","Single","29","No"
"476","477","50000","Male","Graduate school","Single","44","No"
"477","478","70000","Female","University","Married","37","No"
"478","479","500000","Female","Graduate school","Married","38","No"
"479","480","200000","Male","Graduate school","Single","31","No"
"480","481","250000","Female","University","Married","40","No"
"481","482","140000","Male","University","Single","26","Yes"
"482","483","70000","Female","University","Single","28","No"
"483","484","90000","Male","High school","Married","48","No"
"484","485","100000","Female","University","Married","43","No"
"485","486","190000","Male","University","Married","31","No"
"486","487","230000","Female","Graduate school","Married","42","No"
"487","488","320000","Male","University","Married","39","No"
"488","489","220000","Female","University","Married","36","Yes"
"489","490","260000","Female","Graduate school","Married","34","No"
"490","491","90000","Female","University","Single","32","No"
"491","492","30000","Female","University","Married","43","No"
"492","493","260000","Male","University","Single","30","No"
"493","494","170000","Female","University","Single","28","No"
"494","495","80000","Female","Graduate school","Married","28","Yes"
"495","496","50000","Male","Graduate school","Married","41","No"
"496","497","200000","Female","High school","Single","47","No"
"497","498","20000","Male","University","Single","23","No"
"498","499","250000","Female","Graduate school","Married","49","No"
"499","500","20000","Male","Graduate school","Married","38","No"
"500","501","30000","Female","University","Married","38","No"
"501","502","90000","Female","University","Married","35","No"
"502","503","230000","Female","unknown","Single","46","No"
"503","504","130000","Female","Graduate school","Married","33","Yes"
"504","505","30000","Male","unknown","Married","53","No"
"505","506","160000","Male","Graduate school","Single","35","No"
"506","507","500000","Female","University","Single","43","No"
"507","508","180000","Female","University","Single","28","No"
"508","509","80000","Female","University","Married","30","No"
"509","510","120000","Male","Graduate school","Single","26","No"
"510","511","130000","Male","University","Married","31","No"
"511","512","120000","Female","University","Single","35","Yes"
"512","513","360000","Male","Graduate school","Single","28","No"
"513","514","50000","Male","University","Single","23","Yes"
"514","515","20000","Female","University","Single","23","No"
"515","516","100000","Male","High school","Married","56","No"
"516","517","70000","Male","High school","Married","32","No"
"517","518","50000","Male","University","Married","47","No"
"518","519","10000","Female","University","Single","22","No"
"519","520","290000","Female","Graduate school","Married","34","No"
"520","521","30000","Female","Graduate school","Married","31","No"
"521","522","410000","Female","University","Single","27","No"
"522","523","360000","Male","Graduate school","Single","28","Yes"
"523","524","140000","Female","University","Married","42","Yes"
"524","525","210000","Female","Graduate school","Single","32","No"
"525","526","220000","Female","University","Single","27","No"
"526","527","20000","Male","University","Single","27","No"
"527","528","620000","Female","University","Married","45","Yes"
"528","529","360000","Male","Graduate school","Single","26","No"
"529","530","20000","Female","University","Single","21","No"
"530","531","50000","Male","University","Single","23","No"
"531","532","50000","Male","University","others","30","No"
"532","533","10000","Male","University","Single","46","Yes"
"533","534","100000","Female","High school","Married","50","Yes"
"534","535","50000","Male","Graduate school","Single","26","No"
"535","536","60000","Male","University","Single","25","No"
"536","537","440000","Female","Graduate school","Single","35","No"
"537","538","120000","Male","University","Married","44","No"
"538","539","50000","Female","Graduate school","Single","52","No"
"539","540","110000","Female","University","Married","40","No"
"540","541","200000","Female","Graduate school","Single","38","No"
"541","542","150000","Female","Graduate school","Single","28","No"
"542","543","30000","Female","University","Married","36","Yes"
"543","544","100000","Female","Graduate school","Single","24","No"
"544","545","360000","Female","Graduate school","Married","34","No"
"545","546","390000","Female","Graduate school","Single","31","No"
"546","547","220000","Female","Graduate school","Married","41","Yes"
"547","548","160000","Female","University","Single","25","No"
"548","549","230000","Female","Graduate school","Single","28","No"
"549","550","120000","Male","Graduate school","Single","27","No"
"550","551","100000","Male","High school","Married","52","Yes"
"551","552","190000","Female","Graduate school","Single","41","Yes"
"552","553","50000","Male","Graduate school","Married","56","Yes"
"553","554","240000","Female","Graduate school","Married","42","No"
"554","555","40000","Female","University","Single","24","No"
"555","556","630000","Female","University","Married","47","No"
"556","557","160000","Female","Graduate school","Married","33","No"
"557","558","110000","Female","University","Single","32","No"
"558","559","20000","Male","University","Single","29","No"
"559","560","210000","Female","High school","Married","53","No"
"560","561","270000","Male","Graduate school","Single","34","No"
"561","562","360000","Female","University","Single","52","No"
"562","563","60000","Female","University","Married","42","No"
"563","564","360000","Male","University","Single","38","No"
"564","565","390000","Female","Graduate school","Single","45","No"
"565","566","250000","Female","High school","Single","35","No"
"566","567","90000","Female","Graduate school","Single","24","Yes"
"567","568","360000","Male","Graduate school","Single","28","No"
"568","569","50000","Male","High school","Single","26","No"
"569","570","270000","Female","Graduate school","Married","40","No"
"570","571","200000","Female","Graduate school","Single","29","No"
"571","572","50000","Female","University","Single","23","No"
"572","573","350000","Male","Graduate school","Single","33","No"
"573","574","160000","Female","University","Single","60","Yes"
"574","575","80000","Female","High school","Married","49","No"
"575","576","290000","Male","Graduate school","Married","53","Yes"
"576","577","270000","Female","Graduate school","Single","28","No"
"577","578","80000","Male","Graduate school","Single","31","No"
"578","579","50000","Male","University","Single","36","No"
"579","580","30000","Male","University","Married","35","No"
"580","581","30000","Male","University","Single","28","Yes"
"581","582","90000","Male","University","Single","33","No"
"582","583","160000","Male","Graduate school","Single","26","No"
"583","584","80000","Female","High school","Single","53","No"
"584","585","50000","Male","University","Single","42","No"
"585","586","20000","Female","Graduate school","Single","25","No"
"586","587","220000","Male","Graduate school","Married","43","Yes"
"587","588","210000","Male","High school","Single","25","Yes"
"588","589","130000","Female","University","Single","29","No"
"589","590","260000","Female","University","Married","31","No"
"590","591","230000","Female","Graduate school","Married","30","No"
"591","592","160000","Male","Graduate school","Single","34","No"
"592","593","50000","Male","Graduate school","Married","35","No"
"593","594","80000","Male","University","Married","32","No"
"594","595","110000","Male","High school","Single","46","No"
"595","596","200000","Male","Graduate school","Married","43","No"
"596","597","360000","Male","University","Single","29","No"
"597","598","210000","Female","High school","Single","31","No"
